Assembly Accession	Assembly Name	Organism Name	Annotation Name	Assembly Level	Assembly Release Date	Assembly Stats Number of Scaffolds	Assembly BioProject Accession	Assembly BioSample Accession
GCF_041941465.1	ASM4194146v1	Pseudomonas solani	GCF_041941465.1-RS_2024_09_18	Complete Genome	2024-09-18	1.0	PRJNA1080370	SAMN40127311
GCF_021283165.2	ASM2128316v2	Pseudomonas soli	GCF_021283165.2-RS_2024_06_30	Complete Genome	2023-06-30	1.0	PRJNA788750	SAMN23773761
GCF_000498975.2	ASM49897v2	Pseudomonas soli	GCF_000498975.2-RS_2024_10_12	Complete Genome	2014-09-12	1.0	PRJNA215706	SAMN02470220
GCF_025643155.1	ASM2564315v1	Pseudomonas soli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	2022-10-11	1.0	PRJNA758981	SAMN21040838
GCF_003696315.1	ASM369631v1	Pseudomonas songnenensis	GCF_003696315.1-RS_2024_03_28	Contig	2018-10-29		PRJNA497776	SAMN10266092
GCF_009724245.1	ASM972424v1	Pseudomonas spelaei	GCF_009724245.1-RS_2024_05_05	Contig	2019-12-01		PRJNA587868	SAMN13241946
GCF_021603585.1	ASM2160358v1	Pseudomonas sputi	GCF_021603585.1-RS_2024_09_09	Contig	2021-11-22		PRJDB10089	SAMD00422608
GCF_900112645.1	IMG-taxon 2663762767 annotated assembly	Pseudomonas straminea	GCF_900112645.1-RS_2024_04_22	Scaffold	2016-11-02	21.0	PRJEB17217	SAMN05216372
GCF_023823685.1	ASM2382368v1	Pseudomonas subflava	GCF_023823685.1-RS_2024_06_25	Contig	2022-06-21		PRJNA849749	SAMN29132573
GCF_030053115.1	ASM3005311v1	Pseudomonas svalbardensis	GCF_030053115.1-RS_2024_08_12	Complete Genome	2023-05-20	1.0	PRJNA958106	SAMN34277038
GCF_003851555.1	ASM385155v1	Pseudomonas synxantha	GCF_003851555.1-RS_2024_03_31	Complete Genome	2018-11-29	1.0	PRJNA433211	SAMN08359174
GCF_901482615.1	45076_A01	Pseudomonas synxantha	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-05-11	1.0	PRJEB6403	SAMEA4537265
GCF_003851465.1	ASM385146v1	Pseudomonas synxantha	GCF_003851465.1-RS_2024_05_23	Complete Genome	2018-11-29	1.0	PRJNA433211	SAMN08359176
GCF_000968415.2	ASM96841v2	Pseudomonas synxantha	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-04-05	1.0	PRJNA277915	SAMN03398829
GCF_003851495.1	ASM385149v1	Pseudomonas synxantha	GCF_003851495.1-RS_2024_05_23	Complete Genome	2018-11-29	1.0	PRJNA433211	SAMN08359175
GCF_900497645.1	NCIMB10586.c1	Pseudomonas synxantha	GCF_900497645.1-RS_2024_07_13	Complete Genome	2021-06-10	1.0	PRJEB27737	SAMEA4794743
GCF_003852025.1	ASM385202v1	Pseudomonas synxantha	GCF_003852025.1-RS_2024_03_31	Complete Genome	2018-11-29	1.0	PRJNA433211	SAMN08359172
GCF_003851525.1	ASM385152v1	Pseudomonas synxantha	GCF_003851525.1-RS_2024_03_31	Complete Genome	2018-11-29	1.0	PRJNA433211	SAMN08359173
GCF_028747225.1	ASM2874722v1	Pseudomonas synxantha	GCF_028747225.1-RS_2024_03_26	Complete Genome	2023-02-21	1.0	PRJNA932460	SAMN33193896
GCF_900105675.1	IMG-taxon 2667527385 annotated assembly	Pseudomonas synxantha	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	2016-10-21	1.0	PRJEB16480	SAMN05216475
GCF_001602175.1	ASM160217v1	Pseudomonas synxantha	GCF_001602175.1-RS_2024_05_19	Chromosome	2016-03-30	1.0	PRJNA312098	SAMN04495906
GCF_000263715.2	ASM26371v2	Pseudomonas synxantha	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	2012-06-13	1.0	PRJNA67541	SAMN02436586
GCF_018394375.1	ASM1839437v1	Pseudomonas syringae	GCF_018394375.1-RS_2024_05_25	Complete Genome	2021-05-18	2.0	PRJNA728054	SAMN19068034
GCF_018388525.1	ASM1838852v1	Pseudomonas syringae	GCF_018388525.1-RS_2024_05_25	Complete Genome	2021-05-17	1.0	PRJNA728054	SAMN19068847
GCF_018388485.1	ASM1838848v1	Pseudomonas syringae	GCF_018388485.1-RS_2024_05_25	Complete Genome	2021-05-17	1.0	PRJNA728054	SAMN19067894
GCF_026261705.1	ASM2626170v1	Pseudomonas syringae	GCF_026261705.1-RS_2024_03_30	Complete Genome	2022-11-21	1.0	PRJNA898853	SAMN31633287
GCF_900289125.1	CFBP2116_finsihed_replicons	Pseudomonas syringae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-07-01	4.0	PRJEB24889	SAMEA104572225
GCF_014524645.1	ASM1452464v1	Pseudomonas syringae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-09-11	1.0	PRJNA491792	SAMN10088812
GCF_016694755.2	ASM1669475v2	Pseudomonas syringae	GCF_016694755.2-RS_2024_04_27	Complete Genome	2021-04-19	1.0	PRJNA691121	SAMN17278557
GCF_900235815.1	CFBP3840	Pseudomonas syringae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-01-30	5.0	PRJEB23287	SAMEA104365496
GCF_025985485.1	ASM2598548v1	Pseudomonas syringae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-11-03	1.0	PRJNA524303	SAMN11022113
GCF_026261625.1	ASM2626162v1	Pseudomonas syringae	GCF_026261625.1-RS_2024_04_01	Complete Genome	2022-11-21	3.0	PRJNA898853	SAMN31633288
GCF_018388505.1	ASM1838850v1	Pseudomonas syringae	GCF_018388505.1-RS_2024_05_25	Complete Genome	2021-05-17	1.0	PRJNA728054	SAMN19069274
GCF_026261685.1	ASM2626168v1	Pseudomonas syringae	GCF_026261685.1-RS_2024_03_30	Complete Genome	2022-11-21	1.0	PRJNA898853	SAMN31633286
GCF_023278085.1	ASM2327808v1	Pseudomonas syringae	GCF_023278085.1-RS_2024_06_10	Complete Genome	2022-05-09	2.0	PRJNA587608	SAMN17034055
GCF_004323795.1	ASM432379v1	Pseudomonas syringae	GCF_004323795.1-RS_2024_07_29	Chromosome	2019-03-04	4.0	PRJNA507925	SAMN10516673
GCF_018604405.1	ASM1860440v1	Pseudomonas syringae	GCF_018604405.1-RS_2024_06_14	Chromosome	2021-06-01	1.0	PRJNA728054	SAMN19267609
GCF_900105295.1	IMG-taxon 2687453698 annotated assembly	Pseudomonas syringae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	2016-10-21	1.0	PRJEB16445	SAMN05421724
GCF_000452825.2	CC1417_3.0	Pseudomonas syringae	GCF_000452825.2-RS_2024_07_21	Complete Genome	2024-07-11	2.0	PRJNA211390	SAMN02471559
GCF_000452705.1	ASM45270v3	Pseudomonas syringae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2014-01-16	2.0	PRJNA211401	SAMN02471566
GCF_000452605.2	ASM45260v3	Pseudomonas syringae	GCF_000452605.2-RS_2024_04_17	Complete Genome	2022-04-04	1.0	PRJNA211409	SAMN02471571
GCF_000452585.2	ASM45258v3	Pseudomonas syringae	GCF_000452585.2-RS_2024_07_16	Complete Genome	2023-07-13	1.0	PRJNA211412	SAMN02471568
GCF_000145825.2	ASM14582v2	Pseudomonas syringae	GCF_000145825.2-RS_2024_05_01	Complete Genome	2021-05-03	1.0	PRJNA33213	SAMN02471314
GCF_000452565.2	ASM45256v3	Pseudomonas syringae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-01-13	1.0	PRJNA211415	SAMN02471550
GCF_001281365.1	ASM128136v1	Pseudomonas syringae	GCF_001281365.1-RS_2024_05_08	Complete Genome	2015-09-14	2.0	PRJNA202281	SAMN04053740
GCF_000452545.2	USA007_hybrid	Pseudomonas syringae	GCF_000452545.2-RS_2024_07_21	Complete Genome	2024-07-11	1.0	PRJNA211417	SAMN02471549
GCF_000452525.3	ASM45252v4	Pseudomonas syringae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-11-12	3.0	PRJNA211418	SAMN02471567
GCF_001913215.1	ASM191321v1	Pseudomonas syringae pv. actinidiae	GCF_001913215.1-RS_2024_03_27	Complete Genome	2016-12-21	2.0	PRJNA339321	SAMN05589874
GCF_033024575.1	ASM3302457v1	Pseudomonas syringae pv. actinidiae	GCF_033024575.1-RS_2024_10_27	Complete Genome	2023-10-25	2.0	PRJNA1021016	SAMN37542016
GCF_031582985.1	ASM3158298v1	Pseudomonas syringae pv. actinidiae	GCF_031582985.1-RS_2024_04_21	Complete Genome	2023-09-17	2.0	PRJNA1013226	SAMN37297850
GCF_002763655.1	ASM276365v1	Pseudomonas syringae pv. actinidiae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-11-13	3.0	PRJNA416853	SAMN07966197
GCF_023167685.1	ASM2316768v1	Pseudomonas syringae pv. actinidiae	GCF_023167685.1-RS_2024_05_14	Complete Genome	2022-04-02	3.0	PRJDB6661	SAMD00155774
GCF_002024305.1	ASM202430v1	Pseudomonas syringae pv. actinidiae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-03-09	2.0	PRJNA374400	SAMN06323273
GCF_001913235.1	ASM191323v1	Pseudomonas syringae pv. actinidiae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-12-21	3.0	PRJNA339322	SAMN05589875
GCF_002024285.1	ASM202428v1	Pseudomonas syringae pv. actinidiae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-03-09	2.0	PRJNA374400	SAMN06323270
GCF_032812665.1	ASM3281266v1	Pseudomonas syringae pv. actinidiae	GCF_032812665.1-RS_2024_04_21	Complete Genome	2023-10-18	2.0	PRJNA1025040	SAMN37712956
GCF_003665415.1	ASM366541v1	Pseudomonas syringae pv. actinidiae	GCF_003665415.1-RS_2024_04_06	Complete Genome	2018-10-17	2.0	PRJNA495613	SAMN10228471
GCF_032810905.1	ASM3281090v1	Pseudomonas syringae pv. actinidiae	GCF_032810905.1-RS_2024_04_21	Complete Genome	2023-10-18	2.0	PRJNA1022518	SAMN37711865
GCF_033024595.1	ASM3302459v1	Pseudomonas syringae pv. actinidiae	GCF_033024595.1-RS_2024_10_27	Complete Genome	2023-10-25	2.0	PRJNA1021016	SAMN37542033
GCF_000344355.2	ASM34435v2	Pseudomonas syringae pv. actinidiae	GCF_000344355.2-RS_2024_04_07	Complete Genome	2016-08-23	2.0	PRJNA74965	SAMN02471917
GCF_000648735.3	ASM64873v3	Pseudomonas syringae pv. actinidiae	GCF_000648735.3-RS_2024_04_07	Complete Genome	2016-09-16	2.0	PRJNA71845	SAMN02727983
GCF_000658965.1	ASM65896v1	Pseudomonas syringae pv. actinidiae	GCF_000658965.1-RS_2024_04_07	Chromosome	2014-05-02	2.0	PRJNA167426	SAMN02740942
GCF_000344335.2	ASM34433v2	Pseudomonas syringae pv. actinidiae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-02-07	3.0	PRJNA74963	SAMN02471921
GCF_000344475.3	ASM34447v3	Pseudomonas syringae pv. actinidiae	GCF_000344475.3-RS_2024_04_08	Complete Genome	2018-10-17	2.0	PRJNA76165	SAMN02471925
GCF_015680915.2	ASM1568091v2	Pseudomonas syringae pv. actinidifoliorum	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-28	1.0	PRJNA167409	SAMN13855180
GCF_030252405.1	ASM3025240v1	Pseudomonas syringae pv. antirrhini	GCF_030252405.1-RS_2024_06_11	Complete Genome	2023-06-11	2.0	PRJNA979196	SAMN35570584
GCF_003047185.1	ASM304718v1	Pseudomonas syringae pv. atrofaciens	GCF_003047185.1-RS_2024_07_18	Complete Genome	2018-04-10	1.0	PRJNA448635	SAMN08861783
GCF_044499975.1	ASM4449997v1	Pseudomonas syringae pv. atrofaciens	GCF_044499975.1-RS_2024_11_06	Complete Genome	2024-11-07	1.0	PRJNA1134685	SAMN42431390
GCF_041320585.2	Pseudomonas syringae pathovar atrofaciens GM 2231	Pseudomonas syringae pv. atrofaciens	GCF_041320585.2-RS_2024_09_11	Complete Genome	2024-09-11	1.0	PRJNA1142166	SAMN42927928
GCF_900235835.1	CFBP3846	Pseudomonas syringae pv. avii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-01-30	6.0	PRJEB23287	SAMEA104365390
GCF_900235885.1	CFBP6109	Pseudomonas syringae pv. cerasicola	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-01-30	4.0	PRJEB23287	SAMEA104365388
GCF_000972175.1	CLC6_0_3	Pseudomonas syringae pv. coryli	GCF_000972175.1-RS_2024_08_20	Contig	2015-04-15		PRJNA218056	SAMN03481961
GCF_022557235.1	ASM2255723v1	Pseudomonas syringae pv. helianthi	GCF_022557235.1-RS_2024_04_02	Complete Genome	2022-03-13	5.0	PRJNA812077	SAMN26368380
GCF_001482725.1	ASM148272v1	Pseudomonas syringae pv. lapsa	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-12-28	1.0	PRJNA286951	SAMN03774723
GCF_016599655.1	ASM1659965v1	Pseudomonas syringae pv. maculicola	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-01-11	3.0	PRJNA687493	SAMN17146459
GCF_000145845.2	ASM14584v2	Pseudomonas syringae pv. maculicola	GCF_000145845.2-RS_2024_05_06	Complete Genome	2020-01-13	5.0	PRJNA33215	SAMN02471321
GCF_000452445.2	ASM45244v3	Pseudomonas syringae pv. pisi	GCF_000452445.2-RS_2024_04_01	Complete Genome	2018-12-02	4.0	PRJNA211606	SAMN02471574
GCF_023277945.1	ASM2327794v1	Pseudomonas syringae pv. syringae	GCF_023277945.1-RS_2024_06_10	Complete Genome	2022-05-09	2.0	PRJNA587608	SAMN17034057
GCF_043515225.1	ASM4351522v1	Pseudomonas syringae pv. syringae	GCF_043515225.1-RS_2024_10_22	Complete Genome	2024-10-24	1.0	PRJNA1033358	SAMN38031269
GCF_030035225.1	ASM3003522v1	Pseudomonas syringae pv. syringae	GCF_030035225.1-RS_2024_06_10	Complete Genome	2023-05-18	1.0	PRJNA971231	SAMN35027177
GCF_900235825.1	CFBP4215	Pseudomonas syringae pv. syringae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-01-30	1.0	PRJEB23287	SAMEA104365387
GCF_900235865.1	CFBP2118	Pseudomonas syringae pv. syringae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-01-30	1.0	PRJEB23287	SAMEA104365386
GCF_002905815.2	ASM290581v2	Pseudomonas syringae pv. syringae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-02-12	1.0	PRJNA345357	SAMN05861166
GCF_000988485.1	ASM98848v1	Pseudomonas syringae pv. syringae	GCF_000988485.1-RS_2024_07_23	Complete Genome	2015-05-06	1.0	PRJNA198193	SAMN03267739
GCF_000331385.1	PSSB64v1.0	Pseudomonas syringae pv. syringae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	2013-01-18	1.0	PRJNA180994	SAMN02472031
GCF_000012245.1	ASM1224v1	Pseudomonas syringae pv. syringae	GCF_000012245.1-RS_2024_03_20	Complete Genome	2005-05-12	1.0	PRJNA323	SAMN02604347
GCF_000988395.1	ASM98839v1	Pseudomonas syringae pv. syringae	GCF_000988395.1-RS_2024_07_17	Complete Genome	2015-05-06	2.0	PRJNA198196	SAMN03267749
GCF_000412165.1	PSSSMv1.0	Pseudomonas syringae pv. syringae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	2013-06-21	2.0	PRJNA181198	SAMN02472030
GCF_022557255.1	ASM2255725v1	Pseudomonas syringae pv. tagetis	GCF_022557255.1-RS_2024_04_02	Complete Genome	2022-03-13	3.0	PRJNA812078	SAMN26368381
GCF_009800225.1	ASM980022v1	Pseudomonas syringae pv. tomato	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-12-26	1.0	PRJNA595961	SAMN13577971
GCF_002966555.1	ASM296655v1	Pseudomonas syringae pv. tomato	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-03-02	4.0	PRJNA280980	SAMN03481242
GCF_949769235.1	DAPP-PG 215 v1	Pseudomonas syringae pv. tomato	GCF_949769235.1-RS_2024_06_27	Complete Genome	2023-06-27	3.0	PRJEB59188	SAMEA112361238
GCF_041379965.2	Pseudomonas syringae pathovar tomato GM 113	Pseudomonas syringae pv. tomato	GCF_041379965.2-RS_2024_09_11	Complete Genome	2024-09-11	3.0	PRJNA1142166	SAMN42927925
GCF_009800185.1	ASM980018v1	Pseudomonas syringae pv. tomato	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	2019-12-26	1.0	PRJNA595961	SAMN13577969
GCF_009800205.1	ASM980020v1	Pseudomonas syringae pv. tomato	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	2019-12-26	1.0	PRJNA595961	SAMN13577970
GCF_000007805.1	ASM780v1	Pseudomonas syringae pv. tomato	GCF_000007805.1-RS_2024_08_08	Complete Genome	2003-03-05	3.0	PRJNA359	SAMN02604017
GCF_000498575.2	MS-3	Pseudomonas taeanensis	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2013-11-22		PRJNA217843	SAMN02470138
GCF_900475285.1	43222_B01	Pseudomonas taetrolens	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-06-17	1.0	PRJEB6403	SAMEA3711430
GCF_900637735.1	52579_B01	Pseudomonas taetrolens	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-12-20	1.0	PRJEB6403	SAMEA26390668
GCF_014883875.1	ASM1488387v1	Pseudomonas taiwanensis	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-10-13	1.0	PRJNA662431	SAMN16085345
GCF_000425785.1	ASM42578v1	Pseudomonas taiwanensis	GCF_000425785.1-RS_2024_04_26	Scaffold	2013-07-11	67.0	PRJNA188913	SAMN02440864
GCF_014268615.1	ASM1426861v1	Pseudomonas tehranensis	GCF_014268615.1-RS_2024_07_22	Contig	2020-08-23		PRJNA639797	SAMN15248340
GCF_014268445.2	ASM1426844v2	Pseudomonas tensinigenes	GCF_014268445.2-RS_2024_07_22	Complete Genome	2021-07-06	1.0	PRJNA639797	SAMN15248349
GCF_000513835.1	ASM51383v1	Pseudomonas thermotolerans	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2014-01-07	62.0	PRJNA210336	SAMN02597198
GCF_900102295.1	IMG-taxon 2639762509 annotated assembly	Pseudomonas thivervalensis	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	2016-10-20	1.0	PRJEB15833	SAMN04490204
GCF_003293395.1	ASM329339v1	Pseudomonas thivervalensis	GCF_003293395.1-RS_2024_03_29	Chromosome	2018-07-09	1.0	PRJNA391188	SAMN07269618
GCF_003293325.1	ASM329332v1	Pseudomonas thivervalensis	GCF_003293325.1-RS_2024_03_28	Chromosome	2018-07-09	1.0	PRJNA391188	SAMN07258962
GCF_012767755.2	ASM1276775v2	Pseudomonas tohonis	GCF_012767755.2-RS_2024_03_27	Complete Genome	2020-06-01	1.0	PRJDB9669	SAMD00220017
GCF_027915295.1	ASM2791529v1	Pseudomonas tohonis	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-01-18	1.0	PRJNA922444	SAMN32653075
GCF_025642275.1	ASM2564227v1	Pseudomonas tohonis	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-11	1.0	PRJNA883948	SAMN31002698
GCF_030284445.1	ASM3028444v1	Pseudomonas tohonis	GCF_030284445.1-RS_2024_06_16	Complete Genome	2023-06-17	1.0	PRJNA980890	SAMN35653659
GCF_019285655.1	ASM1928565v1	Pseudomonas tolaasii	GCF_019285655.1-RS_2024_08_21	Complete Genome	2021-07-20	1.0	PRJNA683147	SAMN17023443
GCF_030687655.1	ASM3068765v1	Pseudomonas tolaasii	GCF_030687655.1-RS_2024_08_08	Complete Genome	2023-08-08	1.0	PRJNA847632	SAMN29204981
GCF_037094645.1	P_t_RSB_5_11_ONT_WGS	Pseudomonas tolaasii	GCF_037094645.1-RS_2024_04_05	Complete Genome	2024-04-05	1.0	PRJNA1083108	SAMN40232841
GCF_002072675.1	ASM207267v1	Pseudomonas tolaasii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	2017-03-27	1.0	PRJNA379084	SAMN06579284
GCF_002813445.1	ASM281344v1	Pseudomonas tolaasii	GCF_002813445.1-RS_2024_04_22	Contig	2017-12-06		PRJNA303528	SAMN04488246
GCF_023278125.1	ASM2327812v1	Pseudomonas tremae	GCF_023278125.1-RS_2024_05_18	Complete Genome	2022-05-09	3.0	PRJNA587608	SAMN17034053
GCF_023278105.1	ASM2327810v1	Pseudomonas tremae	GCF_023278105.1-RS_2024_05_18	Complete Genome	2022-05-09	3.0	PRJNA587608	SAMN17034054
GCF_026686735.1	ASM2668673v1	Pseudomonas triclosanedens	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-12-06	1.0	PRJNA905558	SAMN31875046
GCF_014268275.3	ASM1426827v3	Pseudomonas tritici	GCF_014268275.3-RS_2024_07_22	Complete Genome	2021-07-12	1.0	PRJNA639797	SAMN15248358
GCF_019145375.1	ASM1914537v1	Pseudomonas triticicola	GCF_019145375.1-RS_2024_07_22	Contig	2021-07-06		PRJNA639797	SAMN19473660
GCF_014358015.1	ASM1435801v1	Pseudomonas triticifolii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-08-24		PRJNA656885	SAMN15805204
GCF_036864995.1	ASM3686499v1	Pseudomonas trivialis	GCF_036864995.1-RS_2024_04_05	Complete Genome	2024-04-05	1.0	PRJNA951732	SAMN34055366
GCF_001186335.1	ASM118633v1	Pseudomonas trivialis	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-07-23	1.0	PRJNA284214	SAMN03699826
GCF_036865115.1	ASM3686511v1	Pseudomonas trivialis	GCF_036865115.1-RS_2024_04_05	Complete Genome	2024-04-05	1.0	PRJNA951732	SAMN34055354
GCF_036865105.1	ASM3686510v1	Pseudomonas trivialis	GCF_036865105.1-RS_2024_04_05	Complete Genome	2024-04-05	1.0	PRJNA951732	SAMN34055355
GCF_036865125.1	ASM3686512v1	Pseudomonas trivialis	GCF_036865125.1-RS_2024_04_05	Complete Genome	2024-04-05	1.0	PRJNA951732	SAMN34055353
GCF_036865065.1	ASM3686506v1	Pseudomonas trivialis	GCF_036865065.1-RS_2024_04_05	Complete Genome	2024-04-05	1.0	PRJNA951732	SAMN34055358
GCF_036865095.1	ASM3686509v1	Pseudomonas trivialis	GCF_036865095.1-RS_2024_04_05	Complete Genome	2024-04-05	1.0	PRJNA951732	SAMN34055356
GCF_036865175.1	ASM3686517v1	Pseudomonas trivialis	GCF_036865175.1-RS_2024_04_05	Complete Genome	2024-04-05	1.0	PRJNA951732	SAMN34055348
GCF_036865215.1	ASM3686521v1	Pseudomonas trivialis	GCF_036865215.1-RS_2024_04_05	Complete Genome	2024-04-05	1.0	PRJNA951732	SAMN34055344
GCF_036865235.1	ASM3686523v1	Pseudomonas trivialis	GCF_036865235.1-RS_2024_04_05	Complete Genome	2024-04-05	1.0	PRJNA951732	SAMN34055342
GCF_036865165.1	ASM3686516v1	Pseudomonas trivialis	GCF_036865165.1-RS_2024_04_05	Complete Genome	2024-04-05	1.0	PRJNA951732	SAMN34055349
GCF_036865145.1	ASM3686514v1	Pseudomonas trivialis	GCF_036865145.1-RS_2024_04_05	Complete Genome	2024-04-05	1.0	PRJNA951732	SAMN34055351
GCF_036865205.1	ASM3686520v1	Pseudomonas trivialis	GCF_036865205.1-RS_2024_04_05	Complete Genome	2024-04-05	1.0	PRJNA951732	SAMN34055345
GCF_036865155.1	ASM3686515v1	Pseudomonas trivialis	GCF_036865155.1-RS_2024_04_05	Complete Genome	2024-04-05	1.0	PRJNA951732	SAMN34055350
GCF_036865005.1	ASM3686500v1	Pseudomonas trivialis	GCF_036865005.1-RS_2024_04_05	Complete Genome	2024-04-05	1.0	PRJNA951732	SAMN34055365
GCF_036865185.1	ASM3686518v1	Pseudomonas trivialis	GCF_036865185.1-RS_2024_04_05	Complete Genome	2024-04-05	1.0	PRJNA951732	SAMN34055347
GCF_036865045.1	ASM3686504v1	Pseudomonas trivialis	GCF_036865045.1-RS_2024_04_05	Complete Genome	2024-04-05	1.0	PRJNA951732	SAMN34055361
GCF_036865225.1	ASM3686522v1	Pseudomonas trivialis	GCF_036865225.1-RS_2024_04_05	Complete Genome	2024-04-05	1.0	PRJNA951732	SAMN34055343
GCF_036865085.1	ASM3686508v1	Pseudomonas trivialis	GCF_036865085.1-RS_2024_04_05	Complete Genome	2024-04-05	1.0	PRJNA951732	SAMN34055357
GCF_036865135.1	ASM3686513v1	Pseudomonas trivialis	GCF_036865135.1-RS_2024_04_05	Complete Genome	2024-04-05	1.0	PRJNA951732	SAMN34055352
GCF_036865035.1	ASM3686503v1	Pseudomonas trivialis	GCF_036865035.1-RS_2024_04_05	Complete Genome	2024-04-05	1.0	PRJNA951732	SAMN34055362
GCF_036865195.1	ASM3686519v1	Pseudomonas trivialis	GCF_036865195.1-RS_2024_04_05	Complete Genome	2024-04-05	1.0	PRJNA951732	SAMN34055346
GCF_036865055.1	ASM3686505v1	Pseudomonas trivialis	GCF_036865055.1-RS_2024_04_05	Complete Genome	2024-04-05	1.0	PRJNA951732	SAMN34055360
GCF_036865025.1	ASM3686502v1	Pseudomonas trivialis	GCF_036865025.1-RS_2024_04_05	Complete Genome	2024-04-05	1.0	PRJNA951732	SAMN34055363
GCF_036865015.1	ASM3686501v1	Pseudomonas trivialis	GCF_036865015.1-RS_2024_04_05	Complete Genome	2024-04-05	1.0	PRJNA951732	SAMN34055364
GCF_900104885.1	IMG-taxon 2639762577 annotated assembly	Pseudomonas trivialis	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	2016-10-21	1.0	PRJEB16396	SAMN04490205
GCF_004214895.1	ASM421489v1	Pseudomonas tructae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-02-20	1.0	PRJNA522009	SAMN10922936
GCF_013184545.1	ASM1318454v1	Pseudomonas tumuqii	GCF_013184545.1-RS_2024_10_11	Contig	2020-05-28		PRJNA610694	SAMN14309639
GCF_027922365.1	ASM2792236v1	Pseudomonas turukhanskensis	GCF_027922365.1-RS_2024_09_09	Scaffold	2023-01-19	61.0	PRJDB10669	SAMD00253133
GCF_014694385.1	ASM1469438v1	Pseudomonas typographi	GCF_014694385.1-RS_2024_03_28	Contig	2020-09-22		PRJNA610756	SAMN14311041
GCF_012647205.1	ASM1264720v1	Pseudomonas umsongensis	GCF_012647205.1-RS_2024_03_29	Complete Genome	2020-04-22	1.0	PRJNA625407	SAMN14599528
GCF_900105285.1	IMG-taxon 2639762618 annotated assembly	Pseudomonas umsongensis	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	2016-10-21	1.0	PRJEB16442	SAMN04490206
GCF_008824165.1	ASM882416v1	Pseudomonas umsongensis	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	2019-10-05	2.0	PRJNA574028	SAMN12838355
